误差倍数,误差标准差,repeat,方案,确定达标比例,确定未达标比例,区间不确定比例,已知状态达标率,相对无误差状态改变率
0.5,0.0018579327921000007,4,16/18,0.8539325842696629,0.056179775280898875,0.0898876404494382,0.9382716049382716,0.011235955056179775
0.5,0.0018579327921000007,4,18/22,0.9176029962546817,0.033707865168539325,0.04868913857677903,0.9645669291338582,0.00749063670411985
0.5,0.0018579327921000007,5,15/18,0.8239700374531835,0.06741573033707865,0.10861423220973783,0.9243697478991597,0.02247191011235955
0.5,0.0018579327921000007,5,16/18,0.850187265917603,0.0599250936329588,0.0898876404494382,0.934156378600823,0.018726591760299626
0.5,0.0018579327921000007,5,18/22,0.9101123595505618,0.026217228464419477,0.06367041198501873,0.972,0.011235955056179775
0.5,0.0018579327921000007,6,15/18,0.8314606741573034,0.056179775280898875,0.11235955056179775,0.9367088607594937,0.011235955056179775
0.5,0.0018579327921000007,6,16/18,0.8614232209737828,0.052434456928838954,0.08614232209737828,0.9426229508196722,0.011235955056179775
0.5,0.0018579327921000007,6,18/22,0.9213483146067416,0.026217228464419477,0.052434456928838954,0.9723320158102767,0.011235955056179775
0.5,0.0018579327921000007,7,15/18,0.8352059925093633,0.0599250936329588,0.10486891385767791,0.9330543933054394,0.018726591760299626
0.5,0.0018579327921000007,7,16/18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.0149812734082397
0.5,0.0018579327921000007,7,18/22,0.9213483146067416,0.033707865168539325,0.0449438202247191,0.9647058823529412,0.00749063670411985
0.5,0.0018579327921000007,8,15/18,0.8277153558052435,0.052434456928838954,0.1198501872659176,0.9404255319148936,0.0149812734082397
0.5,0.0018579327921000007,8,16/18,0.8576779026217228,0.0449438202247191,0.09737827715355805,0.950207468879668,0.018726591760299626
0.5,0.0018579327921000007,8,18/22,0.9250936329588015,0.026217228464419477,0.04868913857677903,0.9724409448818898,0.018726591760299626
0.5,0.0018579327921000007,9,15/18,0.8314606741573034,0.0599250936329588,0.10861423220973783,0.9327731092436975,0.026217228464419477
0.5,0.0018579327921000007,9,16/18,0.8576779026217228,0.052434456928838954,0.0898876404494382,0.9423868312757202,0.0299625468164794
0.5,0.0018579327921000007,9,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.018726591760299626
0.5,0.0018579327921000007,10,15/18,0.8352059925093633,0.06741573033707865,0.09737827715355805,0.9253112033195021,0.0299625468164794
0.5,0.0018579327921000007,10,16/18,0.8614232209737828,0.06367041198501873,0.0749063670411985,0.9311740890688259,0.026217228464419477
0.5,0.0018579327921000007,10,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.018726591760299626
0.5,0.0018579327921000007,11,15/18,0.8352059925093633,0.052434456928838954,0.11235955056179775,0.9409282700421941,0.0299625468164794
0.5,0.0018579327921000007,11,16/18,0.8651685393258427,0.04868913857677903,0.08614232209737828,0.9467213114754098,0.0299625468164794
0.5,0.0018579327921000007,11,18/22,0.9250936329588015,0.033707865168539325,0.04119850187265917,0.96484375,0.018726591760299626
0.5,0.0018579327921000007,12,15/18,0.8314606741573034,0.0599250936329588,0.10861423220973783,0.9327731092436975,0.0149812734082397
0.5,0.0018579327921000007,12,16/18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.00749063670411985
0.5,0.0018579327921000007,12,18/22,0.9213483146067416,0.033707865168539325,0.0449438202247191,0.9647058823529412,0.00749063670411985
0.5,0.0018579327921000007,13,15/18,0.8314606741573034,0.0599250936329588,0.10861423220973783,0.9327731092436975,0.03745318352059925
0.5,0.0018579327921000007,13,16/18,0.8539325842696629,0.052434456928838954,0.09363295880149813,0.9421487603305785,0.0299625468164794
0.5,0.0018579327921000007,13,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.0149812734082397
0.5,0.0018579327921000007,14,15/18,0.8314606741573034,0.0749063670411985,0.09363295880149813,0.9173553719008265,0.026217228464419477
0.5,0.0018579327921000007,14,16/18,0.8576779026217228,0.06367041198501873,0.07865168539325842,0.9308943089430894,0.026217228464419477
0.5,0.0018579327921000007,14,18/22,0.9063670411985019,0.0299625468164794,0.06367041198501873,0.968,0.02247191011235955
0.5,0.0018579327921000007,15,15/18,0.8239700374531835,0.0749063670411985,0.10112359550561797,0.9166666666666666,0.03745318352059925
0.5,0.0018579327921000007,15,16/18,0.850187265917603,0.07116104868913857,0.07865168539325842,0.9227642276422764,0.0299625468164794
0.5,0.0018579327921000007,15,18/22,0.9026217228464419,0.03745318352059925,0.0599250936329588,0.9601593625498008,0.026217228464419477
0.5,0.0018579327921000007,16,15/18,0.8164794007490637,0.06741573033707865,0.11610486891385768,0.923728813559322,0.02247191011235955
0.5,0.0018579327921000007,16,16/18,0.8426966292134831,0.06367041198501873,0.09363295880149813,0.9297520661157025,0.02247191011235955
0.5,0.0018579327921000007,16,18/22,0.9063670411985019,0.0299625468164794,0.06367041198501873,0.968,0.018726591760299626
0.5,0.0018579327921000007,17,15/18,0.8277153558052435,0.056179775280898875,0.11610486891385768,0.9364406779661016,0.02247191011235955
0.5,0.0018579327921000007,17,16/18,0.8576779026217228,0.052434456928838954,0.0898876404494382,0.9423868312757202,0.02247191011235955
0.5,0.0018579327921000007,17,18/22,0.9250936329588015,0.0299625468164794,0.0449438202247191,0.9686274509803922,0.011235955056179775
0.5,0.0018579327921000007,18,15/18,0.8314606741573034,0.06367041198501873,0.10486891385767791,0.9288702928870293,0.018726591760299626
0.5,0.0018579327921000007,18,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.018726591760299626
0.5,0.0018579327921000007,18,18/22,0.9138576779026217,0.033707865168539325,0.052434456928838954,0.9644268774703557,0.003745318352059925
0.5,0.0018579327921000007,19,15/18,0.8239700374531835,0.0749063670411985,0.10112359550561797,0.9166666666666666,0.0299625468164794
0.5,0.0018579327921000007,19,16/18,0.850187265917603,0.06741573033707865,0.08239700374531835,0.926530612244898,0.0299625468164794
0.5,0.0018579327921000007,19,18/22,0.898876404494382,0.03745318352059925,0.06367041198501873,0.96,0.0299625468164794
0.5,0.0018579327921000007,20,15/18,0.8277153558052435,0.06741573033707865,0.10486891385767791,0.9246861924686193,0.033707865168539325
0.5,0.0018579327921000007,20,16/18,0.8539325842696629,0.0599250936329588,0.08614232209737828,0.9344262295081968,0.033707865168539325
0.5,0.0018579327921000007,20,18/22,0.9101123595505618,0.033707865168539325,0.056179775280898875,0.9642857142857143,0.0299625468164794
0.5,0.0018579327921000007,21,15/18,0.8352059925093633,0.06367041198501873,0.10112359550561797,0.9291666666666667,0.0149812734082397
0.5,0.0018579327921000007,21,16/18,0.8614232209737828,0.0599250936329588,0.07865168539325842,0.9349593495934959,0.0149812734082397
0.5,0.0018579327921000007,21,18/22,0.9138576779026217,0.033707865168539325,0.052434456928838954,0.9644268774703557,0.011235955056179775
0.5,0.0018579327921000007,22,15/18,0.8277153558052435,0.0599250936329588,0.11235955056179775,0.9324894514767933,0.018726591760299626
0.5,0.0018579327921000007,22,16/18,0.8539325842696629,0.056179775280898875,0.0898876404494382,0.9382716049382716,0.011235955056179775
0.5,0.0018579327921000007,22,18/22,0.9213483146067416,0.0299625468164794,0.04868913857677903,0.968503937007874,0.003745318352059925
0.5,0.0018579327921000007,23,15/18,0.8314606741573034,0.06367041198501873,0.10486891385767791,0.9288702928870293,0.02247191011235955
0.5,0.0018579327921000007,23,16/18,0.8539325842696629,0.0599250936329588,0.08614232209737828,0.9344262295081968,0.018726591760299626
0.5,0.0018579327921000007,23,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.00749063670411985
0.5,0.0018579327921000007,24,15/18,0.8352059925093633,0.06367041198501873,0.10112359550561797,0.9291666666666667,0.033707865168539325
0.5,0.0018579327921000007,24,16/18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.026217228464419477
0.5,0.0018579327921000007,24,18/22,0.9176029962546817,0.026217228464419477,0.056179775280898875,0.9722222222222222,0.018726591760299626
0.5,0.0018579327921000007,25,15/18,0.8389513108614233,0.052434456928838954,0.10861423220973783,0.9411764705882353,0.03745318352059925
0.5,0.0018579327921000007,25,16/18,0.8651685393258427,0.04868913857677903,0.08614232209737828,0.9467213114754098,0.0299625468164794
0.5,0.0018579327921000007,25,18/22,0.9250936329588015,0.026217228464419477,0.04868913857677903,0.9724409448818898,0.0149812734082397
0.5,0.0018579327921000007,26,15/18,0.8352059925093633,0.056179775280898875,0.10861423220973783,0.9369747899159664,0.02247191011235955
0.5,0.0018579327921000007,26,16/18,0.8614232209737828,0.04868913857677903,0.0898876404494382,0.9465020576131687,0.018726591760299626
0.5,0.0018579327921000007,26,18/22,0.9250936329588015,0.0299625468164794,0.0449438202247191,0.9686274509803922,0.0149812734082397
0.5,0.0018579327921000007,27,15/18,0.8352059925093633,0.056179775280898875,0.10861423220973783,0.9369747899159664,0.04119850187265917
0.5,0.0018579327921000007,27,16/18,0.8614232209737828,0.052434456928838954,0.08614232209737828,0.9426229508196722,0.0299625468164794
0.5,0.0018579327921000007,27,18/22,0.9250936329588015,0.026217228464419477,0.04868913857677903,0.9724409448818898,0.026217228464419477
0.5,0.0018579327921000007,28,15/18,0.8239700374531835,0.0599250936329588,0.11610486891385768,0.9322033898305084,0.03745318352059925
0.5,0.0018579327921000007,28,16/18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.0299625468164794
0.5,0.0018579327921000007,28,18/22,0.9176029962546817,0.026217228464419477,0.056179775280898875,0.9722222222222222,0.02247191011235955
0.5,0.0018579327921000007,29,15/18,0.8202247191011236,0.06367041198501873,0.11610486891385768,0.9279661016949152,0.026217228464419477
0.5,0.0018579327921000007,29,16/18,0.8426966292134831,0.052434456928838954,0.10486891385767791,0.9414225941422594,0.0299625468164794
0.5,0.0018579327921000007,29,18/22,0.9138576779026217,0.026217228464419477,0.0599250936329588,0.9721115537848606,0.02247191011235955
0.5,0.0018579327921000007,30,15/18,0.8202247191011236,0.0599250936329588,0.1198501872659176,0.9319148936170213,0.0149812734082397
0.5,0.0018579327921000007,30,16/18,0.850187265917603,0.056179775280898875,0.09363295880149813,0.9380165289256198,0.0149812734082397
0.5,0.0018579327921000007,30,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.011235955056179775
0.5,0.0018579327921000007,31,15/18,0.8164794007490637,0.06367041198501873,0.1198501872659176,0.9276595744680851,0.0299625468164794
0.5,0.0018579327921000007,31,16/18,0.846441947565543,0.0599250936329588,0.09363295880149813,0.9338842975206612,0.026217228464419477
0.5,0.0018579327921000007,31,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.0149812734082397
0.5,0.0018579327921000007,32,15/18,0.8239700374531835,0.06367041198501873,0.11235955056179775,0.9282700421940928,0.0299625468164794
0.5,0.0018579327921000007,32,16/18,0.8539325842696629,0.0599250936329588,0.08614232209737828,0.9344262295081968,0.02247191011235955
0.5,0.0018579327921000007,32,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.018726591760299626
0.5,0.0018579327921000007,33,15/18,0.8352059925093633,0.06367041198501873,0.10112359550561797,0.9291666666666667,0.018726591760299626
0.5,0.0018579327921000007,33,16/18,0.8614232209737828,0.056179775280898875,0.08239700374531835,0.9387755102040817,0.02247191011235955
0.5,0.0018579327921000007,33,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.018726591760299626
0.5,0.0018579327921000007,34,15/18,0.8239700374531835,0.06741573033707865,0.10861423220973783,0.9243697478991597,0.026217228464419477
0.5,0.0018579327921000007,34,16/18,0.8539325842696629,0.0599250936329588,0.08614232209737828,0.9344262295081968,0.026217228464419477
0.5,0.0018579327921000007,34,18/22,0.9063670411985019,0.026217228464419477,0.06741573033707865,0.9718875502008032,0.02247191011235955
0.5,0.0018579327921000007,35,15/18,0.8277153558052435,0.06741573033707865,0.10486891385767791,0.9246861924686193,0.02247191011235955
0.5,0.0018579327921000007,35,16/18,0.8576779026217228,0.06367041198501873,0.07865168539325842,0.9308943089430894,0.018726591760299626
0.5,0.0018579327921000007,35,18/22,0.9138576779026217,0.03745318352059925,0.04868913857677903,0.9606299212598425,0.0149812734082397
0.5,0.0018579327921000007,36,15/18,0.8426966292134831,0.056179775280898875,0.10112359550561797,0.9375,0.02247191011235955
0.5,0.0018579327921000007,36,16/18,0.8689138576779026,0.052434456928838954,0.07865168539325842,0.943089430894309,0.018726591760299626
0.5,0.0018579327921000007,36,18/22,0.9213483146067416,0.02247191011235955,0.056179775280898875,0.9761904761904762,0.011235955056179775
0.5,0.0018579327921000007,37,15/18,0.8202247191011236,0.056179775280898875,0.12359550561797752,0.9358974358974359,0.033707865168539325
0.5,0.0018579327921000007,37,16/18,0.8539325842696629,0.052434456928838954,0.09363295880149813,0.9421487603305785,0.033707865168539325
0.5,0.0018579327921000007,37,18/22,0.9213483146067416,0.0299625468164794,0.04868913857677903,0.968503937007874,0.02247191011235955
0.5,0.0018579327921000007,38,15/18,0.8389513108614233,0.06741573033707865,0.09363295880149813,0.9256198347107438,0.033707865168539325
0.5,0.0018579327921000007,38,16/18,0.8651685393258427,0.06367041198501873,0.07116104868913857,0.9314516129032258,0.026217228464419477
0.5,0.0018579327921000007,38,18/22,0.9138576779026217,0.03745318352059925,0.04868913857677903,0.9606299212598425,0.0149812734082397
0.5,0.0018579327921000007,39,15/18,0.8202247191011236,0.0599250936329588,0.1198501872659176,0.9319148936170213,0.02247191011235955
0.5,0.0018579327921000007,39,16/18,0.850187265917603,0.056179775280898875,0.09363295880149813,0.9380165289256198,0.02247191011235955
0.5,0.0018579327921000007,39,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.0149812734082397
0.5,0.0018579327921000007,40,15/18,0.8277153558052435,0.06367041198501873,0.10861423220973783,0.9285714285714286,0.02247191011235955
0.5,0.0018579327921000007,40,16/18,0.8539325842696629,0.0599250936329588,0.08614232209737828,0.9344262295081968,0.02247191011235955
0.5,0.0018579327921000007,40,18/22,0.9176029962546817,0.033707865168539325,0.04868913857677903,0.9645669291338582,0.018726591760299626
0.5,0.0018579327921000007,41,15/18,0.8239700374531835,0.06367041198501873,0.11235955056179775,0.9282700421940928,0.02247191011235955
0.5,0.0018579327921000007,41,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.018726591760299626
0.5,0.0018579327921000007,41,18/22,0.9138576779026217,0.033707865168539325,0.052434456928838954,0.9644268774703557,0.0149812734082397
0.5,0.0018579327921000007,42,15/18,0.8202247191011236,0.07116104868913857,0.10861423220973783,0.9201680672268907,0.0299625468164794
0.5,0.0018579327921000007,42,16/18,0.846441947565543,0.06741573033707865,0.08614232209737828,0.9262295081967213,0.02247191011235955
0.5,0.0018579327921000007,42,18/22,0.9063670411985019,0.0299625468164794,0.06367041198501873,0.968,0.011235955056179775
0.5,0.0018579327921000007,43,15/18,0.8277153558052435,0.06741573033707865,0.10486891385767791,0.9246861924686193,0.02247191011235955
0.5,0.0018579327921000007,43,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.0149812734082397
0.5,0.0018579327921000007,43,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.011235955056179775
0.5,0.0018579327921000007,44,15/18,0.8277153558052435,0.056179775280898875,0.11610486891385768,0.9364406779661016,0.0149812734082397
0.5,0.0018579327921000007,44,16/18,0.8576779026217228,0.04868913857677903,0.09363295880149813,0.9462809917355371,0.0149812734082397
0.5,0.0018579327921000007,44,18/22,0.9250936329588015,0.0299625468164794,0.0449438202247191,0.9686274509803922,0.0149812734082397
0.5,0.0018579327921000007,45,15/18,0.846441947565543,0.06367041198501873,0.0898876404494382,0.9300411522633745,0.018726591760299626
0.5,0.0018579327921000007,45,16/18,0.8689138576779026,0.0599250936329588,0.07116104868913857,0.9354838709677419,0.0149812734082397
0.5,0.0018579327921000007,45,18/22,0.9138576779026217,0.033707865168539325,0.052434456928838954,0.9644268774703557,0.00749063670411985
0.5,0.0018579327921000007,46,15/18,0.8314606741573034,0.06741573033707865,0.10112359550561797,0.925,0.04119850187265917
0.5,0.0018579327921000007,46,16/18,0.8539325842696629,0.0599250936329588,0.08614232209737828,0.9344262295081968,0.033707865168539325
0.5,0.0018579327921000007,46,18/22,0.9138576779026217,0.033707865168539325,0.052434456928838954,0.9644268774703557,0.026217228464419477
0.5,0.0018579327921000007,47,15/18,0.8202247191011236,0.06741573033707865,0.11235955056179775,0.9240506329113924,0.0449438202247191
0.5,0.0018579327921000007,47,16/18,0.8426966292134831,0.06367041198501873,0.09363295880149813,0.9297520661157025,0.033707865168539325
0.5,0.0018579327921000007,47,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.018726591760299626
0.5,0.0018579327921000007,48,15/18,0.8314606741573034,0.06367041198501873,0.10486891385767791,0.9288702928870293,0.02247191011235955
0.5,0.0018579327921000007,48,16/18,0.850187265917603,0.0599250936329588,0.0898876404494382,0.934156378600823,0.0149812734082397
0.5,0.0018579327921000007,48,18/22,0.9138576779026217,0.026217228464419477,0.0599250936329588,0.9721115537848606,0.011235955056179775
0.5,0.0018579327921000007,49,15/18,0.8314606741573034,0.06367041198501873,0.10486891385767791,0.9288702928870293,0.026217228464419477
0.5,0.0018579327921000007,49,16/18,0.8539325842696629,0.052434456928838954,0.09363295880149813,0.9421487603305785,0.0299625468164794
0.5,0.0018579327921000007,49,18/22,0.9138576779026217,0.026217228464419477,0.0599250936329588,0.9721115537848606,0.02247191011235955
0.5,0.0018579327921000007,50,15/18,0.8314606741573034,0.0599250936329588,0.10861423220973783,0.9327731092436975,0.033707865168539325
0.5,0.0018579327921000007,50,16/18,0.8576779026217228,0.052434456928838954,0.0898876404494382,0.9423868312757202,0.0299625468164794
0.5,0.0018579327921000007,50,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.0299625468164794
0.5,0.0018579327921000007,51,15/18,0.8314606741573034,0.06367041198501873,0.10486891385767791,0.9288702928870293,0.026217228464419477
0.5,0.0018579327921000007,51,16/18,0.8614232209737828,0.056179775280898875,0.08239700374531835,0.9387755102040817,0.026217228464419477
0.5,0.0018579327921000007,51,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.011235955056179775
0.5,0.0018579327921000007,52,15/18,0.8389513108614233,0.06367041198501873,0.09737827715355805,0.9294605809128631,0.026217228464419477
0.5,0.0018579327921000007,52,16/18,0.8651685393258427,0.0599250936329588,0.0749063670411985,0.9352226720647774,0.026217228464419477
0.5,0.0018579327921000007,52,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.018726591760299626
0.5,0.0018579327921000007,53,15/18,0.8352059925093633,0.0599250936329588,0.10486891385767791,0.9330543933054394,0.0299625468164794
0.5,0.0018579327921000007,53,16/18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.026217228464419477
0.5,0.0018579327921000007,53,18/22,0.9176029962546817,0.033707865168539325,0.04868913857677903,0.9645669291338582,0.0149812734082397
0.5,0.0018579327921000007,54,15/18,0.8389513108614233,0.06367041198501873,0.09737827715355805,0.9294605809128631,0.0299625468164794
0.5,0.0018579327921000007,54,16/18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.026217228464419477
0.5,0.0018579327921000007,54,18/22,0.9138576779026217,0.033707865168539325,0.052434456928838954,0.9644268774703557,0.018726591760299626
0.5,0.0018579327921000007,55,15/18,0.8314606741573034,0.07116104868913857,0.09737827715355805,0.921161825726141,0.0299625468164794
0.5,0.0018579327921000007,55,16/18,0.850187265917603,0.0599250936329588,0.0898876404494382,0.934156378600823,0.0299625468164794
0.5,0.0018579327921000007,55,18/22,0.9101123595505618,0.0299625468164794,0.0599250936329588,0.9681274900398407,0.02247191011235955
0.5,0.0018579327921000007,56,15/18,0.8202247191011236,0.0599250936329588,0.1198501872659176,0.9319148936170213,0.026217228464419477
0.5,0.0018579327921000007,56,16/18,0.8539325842696629,0.056179775280898875,0.0898876404494382,0.9382716049382716,0.02247191011235955
0.5,0.0018579327921000007,56,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.0149812734082397
0.5,0.0018579327921000007,57,15/18,0.8426966292134831,0.06367041198501873,0.09363295880149813,0.9297520661157025,0.033707865168539325
0.5,0.0018579327921000007,57,16/18,0.8614232209737828,0.0599250936329588,0.07865168539325842,0.9349593495934959,0.026217228464419477
0.5,0.0018579327921000007,57,18/22,0.9213483146067416,0.0299625468164794,0.04868913857677903,0.968503937007874,0.011235955056179775
0.5,0.0018579327921000007,58,15/18,0.8314606741573034,0.06741573033707865,0.10112359550561797,0.925,0.04119850187265917
0.5,0.0018579327921000007,58,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.03745318352059925
0.5,0.0018579327921000007,58,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.026217228464419477
0.5,0.0018579327921000007,59,15/18,0.8239700374531835,0.06367041198501873,0.11235955056179775,0.9282700421940928,0.033707865168539325
0.5,0.0018579327921000007,59,16/18,0.850187265917603,0.0599250936329588,0.0898876404494382,0.934156378600823,0.0299625468164794
0.5,0.0018579327921000007,59,18/22,0.9138576779026217,0.026217228464419477,0.0599250936329588,0.9721115537848606,0.018726591760299626
0.5,0.0018579327921000007,60,15/18,0.8277153558052435,0.06367041198501873,0.10861423220973783,0.9285714285714286,0.0299625468164794
0.5,0.0018579327921000007,60,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.026217228464419477
0.5,0.0018579327921000007,60,18/22,0.9176029962546817,0.033707865168539325,0.04868913857677903,0.9645669291338582,0.0149812734082397
0.5,0.0018579327921000007,61,15/18,0.8277153558052435,0.06367041198501873,0.10861423220973783,0.9285714285714286,0.03745318352059925
0.5,0.0018579327921000007,61,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.03745318352059925
0.5,0.0018579327921000007,61,18/22,0.9176029962546817,0.033707865168539325,0.04868913857677903,0.9645669291338582,0.02247191011235955
0.5,0.0018579327921000007,62,15/18,0.8239700374531835,0.06741573033707865,0.10861423220973783,0.9243697478991597,0.0299625468164794
0.5,0.0018579327921000007,62,16/18,0.8539325842696629,0.06367041198501873,0.08239700374531835,0.9306122448979591,0.02247191011235955
0.5,0.0018579327921000007,62,18/22,0.9138576779026217,0.026217228464419477,0.0599250936329588,0.9721115537848606,0.018726591760299626
0.5,0.0018579327921000007,63,15/18,0.8127340823970037,0.08614232209737828,0.10112359550561797,0.9041666666666667,0.04119850187265917
0.5,0.0018579327921000007,63,16/18,0.8389513108614233,0.07865168539325842,0.08239700374531835,0.9142857142857143,0.03745318352059925
0.5,0.0018579327921000007,63,18/22,0.8951310861423221,0.03745318352059925,0.06741573033707865,0.9598393574297188,0.033707865168539325
0.5,0.0018579327921000007,64,15/18,0.8277153558052435,0.06741573033707865,0.10486891385767791,0.9246861924686193,0.026217228464419477
0.5,0.0018579327921000007,64,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.02247191011235955
0.5,0.0018579327921000007,64,18/22,0.9138576779026217,0.026217228464419477,0.0599250936329588,0.9721115537848606,0.018726591760299626
0.5,0.0018579327921000007,65,15/18,0.8277153558052435,0.06367041198501873,0.10861423220973783,0.9285714285714286,0.011235955056179775
0.5,0.0018579327921000007,65,16/18,0.8539325842696629,0.0599250936329588,0.08614232209737828,0.9344262295081968,0.011235955056179775
0.5,0.0018579327921000007,65,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.003745318352059925
0.5,0.0018579327921000007,66,15/18,0.8314606741573034,0.06741573033707865,0.10112359550561797,0.925,0.033707865168539325
0.5,0.0018579327921000007,66,16/18,0.8576779026217228,0.06367041198501873,0.07865168539325842,0.9308943089430894,0.026217228464419477
0.5,0.0018579327921000007,66,18/22,0.9138576779026217,0.04119850187265917,0.0449438202247191,0.9568627450980393,0.02247191011235955
0.5,0.0018579327921000007,67,15/18,0.8352059925093633,0.0599250936329588,0.10486891385767791,0.9330543933054394,0.018726591760299626
0.5,0.0018579327921000007,67,16/18,0.8651685393258427,0.052434456928838954,0.08239700374531835,0.9428571428571428,0.018726591760299626
0.5,0.0018579327921000007,67,18/22,0.9213483146067416,0.0299625468164794,0.04868913857677903,0.968503937007874,0.011235955056179775
0.5,0.0018579327921000007,68,15/18,0.8426966292134831,0.06367041198501873,0.09363295880149813,0.9297520661157025,0.04119850187265917
0.5,0.0018579327921000007,68,16/18,0.8689138576779026,0.0599250936329588,0.07116104868913857,0.9354838709677419,0.0299625468164794
0.5,0.0018579327921000007,68,18/22,0.9176029962546817,0.026217228464419477,0.056179775280898875,0.9722222222222222,0.02247191011235955
0.5,0.0018579327921000007,69,15/18,0.8314606741573034,0.0599250936329588,0.10861423220973783,0.9327731092436975,0.011235955056179775
0.5,0.0018579327921000007,69,16/18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.011235955056179775
0.5,0.0018579327921000007,69,18/22,0.9176029962546817,0.026217228464419477,0.056179775280898875,0.9722222222222222,0.00749063670411985
0.5,0.0018579327921000007,70,15/18,0.8239700374531835,0.0599250936329588,0.11610486891385768,0.9322033898305084,0.018726591760299626
0.5,0.0018579327921000007,70,16/18,0.850187265917603,0.056179775280898875,0.09363295880149813,0.9380165289256198,0.018726591760299626
