"原路径","归档路径","SHA256","原因"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-7.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-7.png","33F672A01E960F01F546D88F66AD72CD83C6D31F2D3DA5849143D6A650AAC69D","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-8.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-8.png","5157DF161A0FBB57F5B682849436BD3A045C70DB41BED2B027D2EF96CBDDC9D9","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-9.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-9.png","5A9F7245D24B675467B24C0131C4EF735047348D9E19CBFA249B549AF225F6EE","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\多因素个体90%时点.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\多因素个体90%时点.csv","59ADBBD6D408F57F15DD751E1339C78ABB80C0128D7A77E1D4F1750605056BB8","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\多因素置换重要性_汇总.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\多因素置换重要性_汇总.csv","5217145ABD23F926D4FE768CE0860A56BF390ABFAAB960A2EE01A16ABC804E59","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\多因素置换重要性_逐折.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\多因素置换重要性_逐折.csv","423E938593F7A9FD1B4468E26F771171C5A43573B124904DE12BC47B7AE16795","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\多因素置换重要性.png","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\多因素置换重要性.png","6F534EEBB7ADF4A1B0583D5CC44F11FFDF5DDB8D370617FBCD2A746DA98CACD8","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\固定BMI分组政策对比.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\固定BMI分组政策对比.csv","2945517C78EFE7CD24052283E285227BB624DC5E94385200A31C4BEF626A4F52","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\患者级区间评分.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\患者级区间评分.csv","368E04BE1775F3DACB8F92D6DF7E8BDC671D6600AD9E3A2D3D14C17868F99A80","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\模型差异Bootstrap.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\模型差异Bootstrap.csv","B8920F9015211F4B9C824B5DE4661D36A47F54710DE9440A11598C50FFA28C7A","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\模型外层测试对比.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\模型外层测试对比.csv","42B8631847A8FA7F2E893E36AE339EBEFC45B4C4FDA66CEA58BF0EC22DB4FA11","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\模型外层测试对比.png","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\模型外层测试对比.png","FAC211E717041DA41B74ABEF204F468BF0C65F39BF4E6178198AC47CFFDCB31A","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\问题3最终建议表.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\问题3最终建议表.csv","ACA5B47ACF5CA0C757833BDEC2630B944E8B15AB528B79C72ECE2F371B73B3C8","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\问题3最终验证结论.json","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\问题3最终验证结论.json","2A71524FA55A6733819CFC214AB841A67DD44CCA27E6C3A1395D19287E6D067B","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题3多因素最终验证_v1\BMI组内个体时点异质性.csv","outputs\C题\_archive\20260824_问题2报告统合\暂停的问题3实验\问题3多因素最终验证_v1\BMI组内个体时点异质性.csv","EA27D84A009C16073A7CF1FFEC04BF789898F9FA3F750229F2595C2FA1856A06","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\bmi_groups_and_timing.csv","outputs\C题\_archive\20260824_问题2报告统合\历史根目录结果\bmi_groups_and_timing.csv","CCD6F887531D5891E4FA57CDF2FEA0E55B9EC636AD57D0FF1CCCA023D66BDF6F","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\c_results.json","outputs\C题\_archive\20260824_问题2报告统合\历史根目录结果\c_results.json","DB70DBF5F04F1DDFC3E40AB645FA43B65BE48B5EDD29994CA9F4FCA1676103BF","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\female_group_cv_roc.png","outputs\C题\_archive\20260824_问题2报告统合\历史根目录结果\female_group_cv_roc.png","B0D8CC96F408CAD2BB584E985B9D1ACA66A45BA01B4B5C975968F54E4BFD348A","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\male_longitudinal_and_timing.png","outputs\C题\_archive\20260824_问题2报告统合\历史根目录结果\male_longitudinal_and_timing.png","A542F12CCC90005F6FDD2857501C5A1771692AE3EF6FA7C8DB72B33EFA38E9DC","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\measurement_error_sensitivity.csv","outputs\C题\_archive\20260824_问题2报告统合\历史根目录结果\measurement_error_sensitivity.csv","C6D88E1954105F7F734ACD18EEB3473527019F2D814AE8FD035C658B1B6E3ECB","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\mixed_model_coefficients.csv","outputs\C题\_archive\20260824_问题2报告统合\历史根目录结果\mixed_model_coefficients.csv","DAF056442FA1CA63FEF503C1FCEDCE94D2E42C0594AB6AC50F455BF809388E05","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\multifactor_timing.csv","outputs\C题\_archive\20260824_问题2报告统合\历史根目录结果\multifactor_timing.csv","B726A161E0561995A4C407DFEF77FE792386E09186ED2E796E2E9B7F31A0229E","问题2报告统合；旧版或非主入口产物保留归档"
